WorkPackageID,Status,Severity,Description,Occurrences,RedundantLOC,Locations
DUP-01,RAW,HIGH,12 lines occurring 2 times,2,12,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/Buttons.tsx#L52:71,src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/Buttons.tsx#L97:116"
DUP-08,RAW,HIGH,12 lines occurring 2 times in 2 files,2,12,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/PointsList.tsx#L37:53,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/PointsList.tsx#L79:95"
DUP-08,RAW,HIGH,12 lines occurring 2 times in 2 files,2,12,"src/helpers/timeslider/flightPlansYellowHighlights.ts#L87:104,src/helpers/timeslider/selectedPlansPointsList.ts#L170:188"
DUP-01,RAW,HIGH,12 lines occurring 2 times in 2 files,2,12,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Form.tsx#L20:31,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step1/index.tsx#L17:28"
DUP-01,RAW,HIGH,12 lines occurring 2 times,2,12,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx#L184:200,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx#L317:332"
DUP-08,RAW,HIGH,12 lines occurring 2 times in 2 files,2,12,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/ListPointsFunctions/index.tsx#L67:83,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L116:132"
DUP-01,RAW,HIGH,11 lines occurring 2 times in 2 files,2,11,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step2/index.tsx#L71:81,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesWatcher.ts#L17:27"
DUP-01,RAW,HIGH,11 lines occurring 2 times,2,11,"src/hooks/features/useRenderGeometries.ts#L48:61,src/hooks/features/useRenderGeometries.ts#L79:93"
DUP-01,RAW,HIGH,11 lines occurring 2 times in 2 files,2,11,"src/helpers/points/buildPointUpdatePayload.ts#L43:53,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditGeometryDetails/Actions/Form/index.tsx#L56:66"
DUP-01,RAW,HIGH,11 lines occurring 2 times in 2 files,2,11,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step1/Content/SinglePlan.tsx#L15:27,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step1/SinglePlan.tsx#L20:32"
DUP-01,RAW,HIGH,11 lines occurring 2 times in 2 files,2,11,"src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/Filter.tsx#L21:32,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/Filter.tsx#L28:39"
DUP-01,RAW,HIGH,11 lines occurring 2 times in 2 files,2,11,"src/Types/keycloakUser.ts#L1:11,backend/src/routes/keycloak/management/users/types.ts#L1:11"
DUP-01,RAW,HIGH,11 lines occurring 2 times in 2 files,2,11,"src/Components/HomePage/Body/Left/Common/FiltersSection/FilterSelect.tsx#L2:14,src/Components/HomePage/Body/Left/Common/FormComponents/SelectComp.tsx#L4:16"
DUP-01,RAW,HIGH,11 lines occurring 2 times in 2 files,2,11,"src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/index.tsx#L23:36,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/hooks/useFilterAndSortPlans.ts#L22:35"
DUP-01,RAW,HIGH,11 lines occurring 2 times in 2 files,2,11,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L55:65,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/RemovePoint.tsx#L52:62"
DUP-01,RAW,HIGH,11 lines occurring 2 times,2,11,"backend/src/helpers/runReturningUpdate.ts#L35:47,backend/src/helpers/runReturningUpdate.ts#L73:85"
DUP-08,RAW,HIGH,10 lines occurring 2 times,2,10,"src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L114:127,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L146:158"
DUP-01,RAW,HIGH,10 lines occurring 2 times in 2 files,2,10,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/Buttons.tsx#L26:38,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx#L344:354"
DUP-01,RAW,HIGH,10 lines occurring 2 times in 2 files,2,10,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step3/Buttons.tsx#L100:115,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/index.tsx#L90:105"
DUP-08,RAW,HIGH,10 lines occurring 2 times in 2 files,2,10,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/ListPointsFunctions/index.tsx#L104:117,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L183:196"
DUP-01,RAW,HIGH,10 lines occurring 2 times in 2 files,2,10,"src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L56:65,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/Buttons.tsx#L71:80"
DUP-01,RAW,HIGH,10 lines occurring 2 times in 2 files,2,10,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L24:33,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Form.tsx#L34:43"
DUP-01,RAW,HIGH,10 lines occurring 2 times in 2 files,2,10,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L30:41,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/index.tsx#L36:47"
DUP-01,RAW,HIGH,10 lines occurring 2 times in 2 files,2,10,"src/helpers/ArcGISHelpers/bufferGraphics.ts#L31:42,src/Components/HomePage/Body/Left/Common/ResultTab/PointListBuffer.tsx#L30:41"
DUP-01,RAW,HIGH,10 lines occurring 2 times in 2 files,2,10,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L28:39,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step2/index.tsx#L39:50"
DUP-01,RAW,HIGH,10 lines occurring 2 times in 2 files,2,10,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L82:95,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/ListPointsFunctions/index.tsx#L65:78"
DUP-08,RAW,HIGH,10 lines occurring 2 times in 2 files,2,10,"src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/useGeometryPlanImages.ts#L31:44,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Common/usePointPlanImages.ts#L40:53"
DUP-01,RAW,HIGH,10 lines occurring 2 times in 2 files,2,10,"src/Components/HomePage/Body/Left/Common/AandachtspuntDetailsFields.tsx#L10:19,src/hooks/zustand/useDrawingStore.ts#L12:21"
DUP-01,RAW,HIGH,10 lines occurring 2 times in 2 files,2,10,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L40:54,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L42:56"
DUP-02,RAW,HIGH,10 lines occurring 2 times in 2 files,2,10,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx#L39:48,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/FormInputs.tsx#L39:48"
DUP-01,RAW,HIGH,10 lines occurring 2 times in 2 files,2,10,"src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Common/Filter.tsx#L9:18,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Filter/index.tsx#L9:18"
DUP-01,RAW,HIGH,9 lines occurring 3 times in 3 files,3,18,"src/Components/HomePage/Body/Bottom/PointsView/PointsTable/index.tsx#L46:55,src/Components/HomePage/Body/Bottom/PointsView/GeometriesTable/index.tsx#L50:59,src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L121:130"
DUP-08,RAW,HIGH,9 lines occurring 3 times in 2 files,3,18,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L84:95,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L116:127,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L147:158"
DUP-07,RAW,HIGH,9 lines occurring 3 times in 3 files,3,18,"src/hooks/zustand/shared/flightPlanFormFields.ts#L26:34,src/hooks/zustand/nabewerking/useFinishedPlansState.ts#L44:52,src/hooks/zustand/useReuseFlightPlan.ts#L40:48"
DUP-01,RAW,HIGH,9 lines occurring 3 times in 3 files,3,18,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlanDetails/DropDown.tsx#L63:114,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Points/DropDown.tsx#L132:262,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L180:310"
DUP-01,RAW,HIGH,9 lines occurring 3 times in 3 files,3,18,"src/Components/HomePage/Head/Common/FilterTabs.tsx#L26:36,src/Components/HomePage/Body/Left/Common/TabHeader/index.tsx#L28:38,src/Components/HomePage/Body/Left/Common/FiltersSection/index.tsx#L53:63"
DUP-01,RAW,HIGH,7 lines occurring 5 times in 3 files,5,28,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx#L194:200,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/EditPointCoordinates/index.tsx#L326:332,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/W"
DUP-01,RAW,HIGH,7 lines occurring 4 times in 4 files,4,21,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/CoordinatesInput.tsx#L12:18,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step2/index.tsx#L29:35,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/UpdateBtn.tsx#L16:22,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesW"
DUP-01,RAW,HIGH,7 lines occurring 4 times in 3 files,4,21,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/index.tsx#L59:67,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx#L157:165,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx#L175:183,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Com"
DUP-01,RAW,HIGH,7 lines occurring 4 times in 4 files,4,21,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L31:37,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/index.tsx#L37:43,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/SelectButtons.tsx#L20:26,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/SelectButtons.tsx#L26:32"
DUP-01,RAW,HIGH,8 lines occurring 3 times in 2 files,3,16,"backend/src/helpers/queries/geometryJson.ts#L13:20,src/helpers/points/pointColumnKeys.ts#L2:9,src/helpers/points/pointColumnKeys.ts#L18:25"
DUP-01,RAW,HIGH,7 lines occurring 4 times in 4 files,4,21,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L29:35,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step2/index.tsx#L40:46,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/SelectButtons.tsx#L34:40,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/SelectButtons.tsx#L43:49"
DUP-08,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/ListPointsFunctions/index.tsx#L53:63,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L102:112"
DUP-08,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Body/Left/Common/ResultTab/ListPointsFunctions/index.tsx#L98:108,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L134:144"
DUP-01,RAW,HIGH,6 lines occurring 5 times in 5 files,5,24,"src/helpers/points/buildPointUpdatePayload.ts#L4:9,src/Types/finished_plans.ts#L31:36,backend/src/helpers/validators/finishedPlan.ts#L27:32,src/Types/index.ts#L5:10,src/helpers/points/pointColumnKeys.ts#L34:39"
DUP-01,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/hooks/zustand/nabewerking/useChangePlanStatusState.ts#L24:37,src/hooks/zustand/nabewerking/useCreateReportState.ts#L33:46"
DUP-01,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Head/Common/FilterTabs.tsx#L15:24,src/Components/HomePage/Body/Left/Common/TabHeader/index.tsx#L15:24"
DUP-08,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/hooks/points/sortPointsWithSelectionOrder.ts#L8:20,src/hooks/viewPlan/useSortedPointSelection.ts#L9:21"
DUP-01,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L71:79,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/RemovePoint.tsx#L31:39"
DUP-08,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Body/Right/SelectedPlansPointsList/Images/SelectedPlanGeometryImagesPanel.tsx#L24:59,src/Components/HomePage/Body/Right/SelectedPlansPointsList/Images/SelectedPlanPointImagesPanel.tsx#L24:59"
DUP-01,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/helpers/tokens/ArcGISUserToken.ts#L57:65,src/helpers/refreshToken.ts#L24:32"
DUP-01,RAW,HIGH,9 lines occurring 2 times,2,9,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L80:90,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/Step2Sub1.tsx#L99:109"
DUP-01,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/templateFlightStates.ts#L45:53,src/hooks/zustand/voorbereiding/useFlightPlanState.ts#L95:103"
DUP-08,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Body/Left/Common/ResultTab/PointsList.tsx#L76:85,src/Components/HomePage/Body/Left/Common/ResultTab/PointsListEdit.tsx#L52:62"
DUP-01,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L56:68,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L58:70"
DUP-01,RAW,HIGH,9 lines occurring 2 times,2,9,"backend/src/routes/devices-updates/db.ts#L178:186,backend/src/routes/devices-updates/db.ts#L196:204"
DUP-08,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PlansList.tsx#L63:72,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L71:80"
DUP-01,RAW,HIGH,9 lines occurring 2 times in 2 files,2,9,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepNo/Buttons.tsx#L8:18,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepMultiplePoints/Buttons.tsx#L8:18"
